teamID,batting_style,percentage
ATL,Right,62
BAL,Right,62
BOS,Right,62
CAL,Right,61
CHA,Right,60
CHN,Right,64
CIN,Right,63
CLE,Right,60
DET,Right,61
HOU,Right,62
KCA,Right,64
LAN,Right,63
MIN,Right,61
ML4,Right,60
MON,Right,64
NYA,Right,59
NYN,Right,56
OAK,Right,63
PHI,Right,58
PIT,Right,64
SDN,Right,61
SEA,Right,62
SFN,Right,61
SLN,Right,62
TEX,Right,64
TOR,Right,64
COL,Right,64
FLO,Right,66
ANA,Right,61
ARI,Right,62
MIL,Right,66
TBA,Right,60
LAA,Right,68
WAS,Right,63
MIA,Right,64
NYM,Right,67
SFG,Right,56
ATL,Left,29
BAL,Left,30
BOS,Left,29
CAL,Left,29
CHA,Left,33
CHN,Left,29
CIN,Left,29
CLE,Left,30
DET,Left,29
HOU,Left,24
KCA,Left,27
LAN,Left,28
MIN,Left,27
ML4,Left,29
MON,Left,24
NYA,Left,31
NYN,Left,30
OAK,Left,27
PHI,Left,31
PIT,Left,27
SDN,Left,29
SEA,Left,29
SFN,Left,28
SLN,Left,27
TEX,Left,26
TOR,Left,27
COL,Left,28
FLO,Left,24
ANA,Left,32
ARI,Left,30
MIL,Left,29
TBA,Left,31
LAA,Left,17
WAS,Left,26
MIA,Left,29
NYM,Left,29
SFG,Left,26
ATL,Both,9
BAL,Both,9
BOS,Both,9
CAL,Both,10
CHA,Both,7
CHN,Both,8
CIN,Both,8
CLE,Both,11
DET,Both,11
HOU,Both,14
KCA,Both,8
LAN,Both,9
MIN,Both,12
ML4,Both,11
MON,Both,12
NYA,Both,10
NYN,Both,14
OAK,Both,10
PHI,Both,10
PIT,Both,8
SDN,Both,10
SEA,Both,9
SFN,Both,11
SLN,Both,12
TEX,Both,10
TOR,Both,9
COL,Both,9
FLO,Both,9
ANA,Both,7
ARI,Both,8
MIL,Both,4
TBA,Both,9
LAA,Both,15
WAS,Both,12
MIA,Both,5
NYM,Both,4
SFG,Both,19
