nameGiven,yearID,sal_mil,salary_rank
"Michael Jack",1985,2.1303,1
"Gary Edmund",1985,2.0286,2
"George Arthur",1985,1.9429,3
"George Arthur",1986,2.8000,1
"Gary Edmund",1986,2.1607,2
"Michael Jack",1986,2.1367,3
"Michael Jack",1987,2.1273,1
"James Edward",1987,2.1100,2
"Gary Edmund",1987,2.0607,3
"Osborne Earl",1988,2.3400,1
"George Howard",1988,2.3050,2
"Michael Jack",1988,2.2500,3
"Orel Leonard",1989,2.7667,1
"Frank John",1989,2.7667,2
"Daniel Raymond",1989,2.5154,3
"Robin R.",1990,3.2000,1
Kirby,1990,2.8167,2
"William Roger",1990,2.6000,3
"Darryl Eugene",1991,3.8000,1
"Joseph Chris",1991,3.7917,2
"William Nuschler",1991,3.7500,3
"Roberto Martin Antonio",1992,6.1000,1
Danilo,1992,5.3000,2
"Dwight Eugene",1992,5.1667,3
"Roberto Martin Antonio",1993,6.2000,1
"Ryne Dee",1993,5.9750,2
"Dwight Eugene",1993,5.9167,3
"Roberto Martin Antonio",1994,6.3000,1
"Ryne Dee",1994,5.9750,2
"Joseph Chris",1994,5.5500,3
"Cecil Grant",1995,9.2375,1
"Barry Lamar",1995,8.1667,2
"David Brian",1995,8.0000,3
"Cecil Grant",1996,9.2375,1
"Barry Lamar",1996,8.4167,2
"George Kenneth",1996,7.6500,3
"Albert Jojuan",1997,10.0000,1
"Cecil Grant",1997,9.2375,2
"Barry Lamar",1997,8.6667,3
"Gary Antonian",1998,14.9367,1
"Albert Jojuan",1998,10.0000,2
"Gregory Alan",1998,9.6000,3
"Albert Jojuan",1999,11.9498,1
"Pedro Jaime",1999,11.1000,2
"James Kevin",1999,10.7143,3
"James Kevin",2000,15.7143,1
"Randall David",2000,13.3500,2
"Albert Jojuan",2000,12.8687,3
"Alexander Emmanuel",2001,22.0000,1
"James Kevin",2001,15.7143,2
"Carlos Juan",2001,13.6500,3
"Alexander Emmanuel",2002,22.0000,1
"Carlos Juan",2002,19.4000,2
"James Kevin",2002,15.7143,3
"Alexander Emmanuel",2003,22.0000,1
"Manuel Aristides",2003,20.0000,2
"Carlos Juan",2003,18.7000,3
"Manuel Aristides",2004,22.5000,1
"Alexander Emmanuel",2004,22.0000,2
"Carlos Juan",2004,19.7000,3
"Alexander Emmanuel",2005,26.0000,1
"Manuel Aristides",2005,22.0000,2
"Barry Lamar",2005,22.0000,3
"Alexander Emmanuel",2006,21.6807,1
"Derek Sanderson",2006,20.6000,2
"Jason Gilbert",2006,20.4286,3
"Jason Gilbert",2007,23.4286,1
"Alexander Emmanuel",2007,22.7085,2
"Derek Sanderson",2007,21.6000,3
"Alexander Emmanuel",2008,28.0000,1
"Jason Gilbert",2008,23.4286,2
"Derek Sanderson",2008,21.6000,3
"Alexander Emmanuel",2009,33.0000,1
"Manuel Aristides",2009,23.8545,2
"Derek Sanderson",2009,21.6000,3
"Alexander Emmanuel",2010,33.0000,1
"Carsten Charles",2010,24.2857,2
"Derek Sanderson",2010,22.6000,3
"Alexander Emmanuel",2011,32.0000,1
"Vernon M.",2011,26.1875,2
"Carsten Charles",2011,24.2857,3
"Alexander Emmanuel",2012,30.0000,1
"Vernon M.",2012,24.1875,2
"Johan Alexander",2012,23.1450,3
"Alexander Emmanuel",2013,29.0000,1
"Clifton Phifer",2013,25.0000,2
"Vernon M.",2013,24.6429,3
"Donald Zachary",2014,26.0000,1
"Ryan James",2014,25.0000,2
"Clifton Phifer",2014,25.0000,3
